id,original_id,anomaly_score,is_anomaly
1,1,0.0609688,0
2,2,0.0563095,0
3,3,0.0518573,0
4,4,0.063053,0
5,5,0.0650309,0
6,6,0.0642863,0
7,7,0.0628413,0
8,8,0.0642863,0
9,9,0.0642863,0
10,10,0.0620915,0
11,11,0.0628413,0
12,12,0.0595895,0
13,13,0.0505995,0
14,14,0.0525569,0
15,15,0.0576653,0
16,16,0.0440789,0
17,17,0.0599503,0
18,18,0.0452739,0
19,19,0.0577416,0
20,20,0.0642863,0
21,21,0.0650309,0
22,22,0.0628413,0
23,23,0.0650309,0
24,24,0.0650309,0
25,25,0.0650309,0
26,26,0.0620915,0
27,27,0.0650309,0
28,28,0.0648194,0
29,29,0.0627085,0
30,30,0.0471066,0
31,31,0.0469637,0
32,32,0.061878,0
33,33,0.0448476,0
34,34,0.0471066,0
35,35,0.06414,0
36,36,0.0224685,0
37,37,-0.0197986,1
38,38,-0.0189299,1
39,39,-0.0465626,1
40,40,0.0540365,0
41,41,-0.0237469,1
42,42,0.00476631,0
43,43,0.0570509,0
44,44,0.0673582,0
45,45,0.0376612,0
46,46,0.0336843,0
47,47,0.0661134,0
48,48,0.0272544,0
49,49,0.0230165,0
50,50,0.0661827,0
51,51,0.0370819,0
52,52,0.0343434,0
53,53,0.0653714,0
54,54,0.0376612,0
55,55,0.0294918,0
56,56,0.0655808,0
57,57,0.034888,0
58,58,0.0266276,0
59,59,0.0655808,0
60,60,0.0361442,0
61,61,0.0323655,0
62,62,0.0655808,0
63,63,0.0350991,0
64,64,-0.0859469,1
65,65,0.0376612,0
66,66,0.024283,0
67,67,0.0610738,0
68,68,0.0370819,0
69,69,0.026746,0
70,70,0.0661134,0
71,71,0.0370819,0
72,72,0.0323295,0
73,73,0.0653714,0
74,74,0.036872,0
75,75,0.0297272,0
76,76,0.0648375,0
77,77,0.0351198,0
78,78,0.0315431,0
79,79,0.0648375,0
80,80,0.0353308,0
81,81,0.0331651,0
82,82,0.0648375,0
83,83,0.0351198,0
84,84,-0.0863416,1
85,85,0.0353657,0
86,86,0.028757,0
87,87,0.0646112,0
88,88,0.0345641,0
89,89,0.0309816,0
90,90,0.0646112,0
91,91,0.0345641,0
92,92,0.0309816,0
93,93,0.065355,0
94,94,0.0345641,0
95,95,0.0293889,0
96,96,0.0640761,0
97,97,0.0313441,0
98,98,0.0293889,0
99,99,0.0648211,0
100,100,0.0313441,0
101,101,0.0293889,0
102,102,0.0648211,0
103,103,0.0313441,0
104,104,-0.076143,1
105,105,0.0347825,0
106,106,0.0132249,0
107,107,0.0249138,0
108,108,0.0593416,0
109,109,0.0345641,0
110,110,0.0318053,0
111,111,0.065355,0
112,112,0.0337469,0
113,113,0.0309816,0
114,114,0.0646112,0
115,115,0.0321669,0
116,116,0.0293889,0
117,117,0.0640761,0
118,118,0.0313441,0
119,119,0.0293889,0
120,120,0.0640761,0
121,121,0.0313441,0
122,122,0.0293889,0
123,123,0.0648211,0
124,124,0.0313441,0
125,125,-0.0750647,1
126,126,-0.0215722,1
127,127,0.016298,0
128,128,0.0473963,0
129,129,0.0325924,0
130,130,-0.00575748,1
131,131,0.0483525,0
132,132,0.00479062,0
133,133,0.0261454,0
134,134,0.0522541,0
135,135,0.0211387,0
136,136,0.0135482,0
137,137,0.0596493,0
138,138,0.0226821,0
139,139,0.00915354,0
140,140,0.0454537,0
141,141,0.0322458,0
142,142,0.0281372,0
143,143,0.0601949,0
144,144,0.0218189,0
145,145,-0.0902579,1
146,146,0.0287529,0
147,147,0.0245363,0
148,148,0.0575044,0
149,149,0.0228208,0
150,150,0.0269806,0
151,151,0.0473873,0
152,152,0.0199972,0
153,153,0.038278,0
154,154,0.0424477,0
155,155,0.028156,0
156,156,0.0343164,0
157,157,0.0473073,0
158,158,0.024765,0
159,159,0.0122994,0
160,160,0.0523533,0
161,161,0.0218042,0
162,162,0.0322499,0
163,163,0.0445626,0
164,164,0.0233572,0
165,165,-0.0672431,1
166,166,0.0298325,0
167,167,0.0182733,0
168,168,0.0541727,0
169,169,0.0591786,0
170,170,0.0465776,0
171,171,0.0435568,0
172,172,0.0610738,0
173,173,0.0212319,0
174,174,0.0302459,0
175,175,0.0653714,0
176,176,0.0312132,0
177,177,0.0290912,0
178,178,0.0556461,0
179,179,0.00949921,0
180,180,0.0306672,0
181,181,0.05665,0
182,182,0.0151276,0
183,183,-0.0837067,1
184,184,0.0249197,0
185,185,0.0267408,0
186,186,0.0610738,0
187,187,0.0322319,0
188,188,0.0364468,0
189,189,0.0653714,0
190,190,0.0486573,0
191,191,0.0550878,0
192,192,0.0368514,0
193,193,0.023763,0
194,194,0.0649071,0
195,195,0.0338606,0
196,196,0.0346925,0
197,197,0.0648375,0
198,198,0.0229878,0
199,199,0.0310961,0
200,200,0.0649071,0
201,201,0.0267192,0
202,202,-0.0726237,1
203,203,0.0193069,0
204,204,0.0348274,0
205,205,0.0492785,0
206,206,0.0378911,0
207,207,0.0236369,0
208,208,0.0631214,0
209,209,0.0455255,0
210,210,0.048519,0
211,211,0.0103601,0
212,212,0.023737,0
213,213,0.0655808,0
214,214,0.0337353,0
215,215,0.027628,0
216,216,0.0479563,0
217,217,0.0314858,0
218,218,0.0359164,0
219,219,0.0608741,0
220,220,0.0353308,0
221,221,-0.0549335,1
222,222,0.0351588,0
223,223,0.0268002,0
224,224,0.0267408,0
225,225,0.0610738,0
226,226,0.0187547,0
227,227,0.0323295,0
228,228,0.0654408,0
229,229,0.0213352,0
230,230,0.0368547,0
231,231,0.0541727,0
232,232,0.0268225,0
233,233,0.0286958,0
234,234,0.0558815,0
235,235,0.0274776,0
236,236,0.0263337,0
237,237,0.0520745,0
238,238,0.0216065,0
239,239,0.0192064,0
240,240,0.0648375,0
241,241,0.0353308,0
242,242,-0.0568376,1
243,243,0.00639887,0
244,244,0.0250351,0
245,245,0.0661134,0
246,246,-0.00662098,1
247,247,0.0242907,0
248,248,0.0653714,0
249,249,0.0231884,0
250,250,0.00614022,0
251,251,0.0520193,0
252,252,0.0368514,0
253,253,0.0130521,0
254,254,0.0633323,0
255,255,0.0331728,0
256,256,-0.00958021,1
257,257,0.0648375,0
258,258,0.000868157,0
259,259,0.00455046,0
260,260,0.0392422,0
261,261,0.0285983,0
262,262,-0.0561547,1
263,263,0.0368514,0
264,264,-0.0147667,1
265,265,0.0610738,0
266,266,0.0122762,0
267,267,0.0150252,0
268,268,0.0549413,0
269,269,0.0219422,0
270,270,0.0336378,0
271,271,0.0444021,0
272,272,0.0250194,0
273,273,0.0315431,0
274,274,0.0583093,0
275,275,0.0361442,0
276,276,0.0182569,0
277,277,0.0543896,0
278,278,-0.00992998,1
279,279,0.0359164,0
280,280,0.0527494,0
281,281,0.0211345,0
282,282,-0.0798045,1
283,283,0.037149,0
284,284,0.0353975,0
285,285,0.0681638,0
286,286,0.0304169,0
287,287,0.0282202,0
288,288,0.0681638,0
289,289,0.0361368,0
290,290,0.0346431,0
291,291,0.0495002,0
292,292,0.0536755,0
293,293,0.0327976,0
294,294,0.0310217,0
295,295,0.0676347,0
296,296,0.0353982,0
297,297,0.0289673,0
298,298,0.0676347,0
299,299,0.0348151,0
300,300,0.0326461,0
301,301,0.0676347,0
302,302,0.0356297,0
303,303,-0.0680196,1
304,304,0.037149,0
305,305,0.0270472,0
306,306,0.0631574,0
307,307,0.0373793,0
308,308,0.0282202,0
309,309,0.0674957,0
310,310,0.0310493,0
311,311,0.0338262,0
312,312,0.0674267,0
313,313,0.0319098,0
314,314,0.0328795,0
315,315,0.0668963,0
316,316,0.0356297,0
317,317,0.0292031,0
318,318,0.0668963,0
319,319,0.0353982,0
320,320,0.0318244,0
321,321,0.0668963,0
322,322,0.0356297,0
323,323,-0.0755113,1
324,324,0.0365688,0
325,325,0.0345824,0
326,326,0.0674957,0
327,327,0.0325593,0
328,328,0.034411,0
329,329,0.0682326,0
330,330,0.0365688,0
331,331,0.0279532,0
332,332,0.0674957,0
333,333,0.0373793,0
334,334,0.0320583,0
335,335,0.0669654,0
336,336,0.0356297,0
337,337,0.0328795,0
338,338,0.0669654,0
339,339,0.0348151,0
340,340,0.0320583,0
341,341,0.0677036,0
342,342,0.0348151,0
343,343,-0.0757925,1
344,344,0.036338,0
345,345,0.0245916,0
346,346,0.0624083,0
347,347,0.0373793,0
348,348,0.0338262,0
349,349,0.0682326,0
350,350,0.0330276,0
351,351,0.0346431,0
352,352,0.0674957,0
353,353,0.0365688,0
354,354,0.0328795,0
355,355,0.0669654,0
356,356,0.0348151,0
357,357,0.0328795,0
358,358,0.0677036,0
359,359,0.0348151,0
360,360,0.0277606,0
361,361,0.0677036,0
362,362,0.0356297,0
363,363,-0.0796304,1
364,364,0.0382111,0
365,365,0.0370065,0
366,366,0.0651386,0
367,367,0.0392466,0
368,368,0.035713,0
369,369,0.0694456,0
370,370,0.0392466,0
371,371,0.0301562,0
372,372,0.0693771,0
373,373,0.0392466,0
374,374,0.0299649,0
375,375,0.0681834,0
376,376,0.033714,0
377,377,0.0329726,0
378,378,0.0681834,0
379,379,0.0375067,0
380,380,0.0339549,0
381,381,0.0681834,0
382,382,0.0375067,0
383,383,-0.0860185,1
384,384,0.0347201,0
385,385,0.0212342,0
386,386,0.0651386,0
387,387,0.0392466,0
388,388,0.0302776,0
389,389,0.0694456,0
390,390,0.0360124,0
391,391,0.0365255,0
392,392,0.0686429,0
393,393,0.0384406,0
394,394,0.0286497,0
395,395,0.0689187,0
396,396,0.0350101,0
397,397,0.0265869,0
398,398,0.0689187,0
399,399,0.0375067,0
400,400,0.0286497,0
401,401,0.0681834,0
402,402,0.0375067,0
403,403,-0.0860006,1
404,404,0.0470456,0
405,405,0.0474819,0
406,406,0.0686429,0
407,407,0.0402811,0
408,408,0.0414239,0
409,409,0.0693771,0
410,410,0.0470456,0
411,411,0.0473808,0
412,412,0.0693771,0
413,413,0.0462582,0
414,414,0.0466359,0
415,415,0.0681146,0
416,416,0.0470873,0
417,417,0.0466359,0
418,418,0.0681146,0
419,419,0.0470873,0
420,420,0.0466359,0
421,421,0.0689187,0
422,422,0.0470873,0
423,423,-0.0552767,1
424,424,0.0462582,0
425,425,0.0395709,0
426,426,0.0643943,0
427,427,0.0462582,0
428,428,0.0447832,0
429,429,0.0693771,0
430,430,0.0462582,0
431,431,0.0465942,0
432,432,0.0686429,0
433,433,0.0462582,0
434,434,0.0466359,0
435,435,0.0681146,0
436,436,0.0463,0
437,437,0.0466359,0
438,438,0.0688501,0
439,439,0.0470873,0
440,440,0.0466359,0
441,441,0.0681146,0
442,442,0.0313761,0
443,443,-0.0576342,1
444,444,0.0434101,0
445,445,0.0447152,0
446,446,0.0686429,0
447,447,0.042614,0
448,448,0.0365712,0
449,449,0.0686429,0
450,450,0.042614,0
451,451,0.0407813,0
452,452,0.0686429,0
453,453,0.0354862,0
454,454,0.0366141,0
455,455,0.0681146,0
456,456,0.0408238,0
457,457,0.0425817,0
458,458,0.0688501,0
459,459,0.0303001,0
460,460,0.0408238,0
461,461,0.0688501,0
462,462,0.0424498,0
463,463,-0.0418007,1
464,464,0.0434101,0
465,465,0.0325792,0
466,466,0.0651386,0
467,467,0.0434101,0
468,468,0.0373816,0
469,469,0.0686429,0
470,470,0.0425395,0
471,471,0.042296,0
472,472,0.0693771,0
473,473,0.042614,0
474,474,0.0423752,0
475,475,0.0689187,0
476,476,0.0318002,0
477,477,0.0401164,0
478,478,0.0688501,0
479,479,0.0423752,0
480,480,0.0330482,0
481,481,0.0681146,0
482,482,0.0426562,0
483,483,-0.0419497,1
484,484,0.0356037,0
485,485,0.0422153,0
486,486,0.0686429,0
487,487,0.00612021,0
488,488,0.0225223,0
489,489,0.0686429,0
490,490,0.0350578,0
491,491,0.0347063,0
492,492,0.0643246,0
493,493,0.0249987,0
494,494,0.0261148,0
495,495,0.0681146,0
496,496,0.039915,0
497,497,0.0388386,0
498,498,0.0688501,0
499,499,0.0356412,0
500,500,0.0394538,0
501,501,0.0688501,0
502,502,0.0391858,0
503,503,-0.0483427,1
504,504,0.0418148,0
505,505,0.0389773,0
506,506,0.0686429,0
507,507,0.0213152,0
508,508,0.0252705,0
509,509,0.0693771,0
510,510,0.0399475,0
511,511,0.0402149,0
512,512,0.0693771,0
513,513,0.0223808,0
514,514,0.0165502,0
515,515,0.0681146,0
516,516,0.0399901,0
517,517,0.0394538,0
518,518,0.0645348,0
519,519,0.0399901,0
520,520,0.0368809,0
521,521,0.0688501,0
522,522,0.0399901,0
523,523,-0.0458849,1
524,524,0.00488197,0
525,525,0.0127957,0
526,526,0.0686429,0
527,527,-0.0241968,1
528,528,-0.041642,1
529,529,0.0686429,0
530,530,-0.00298256,1
531,531,-0.00177478,1
532,532,0.0694456,0
533,533,-0.00423264,1
534,534,-0.0230068,1
535,535,0.0681146,0
536,536,-0.00327722,1
537,537,-0.0208063,1
538,538,0.0688501,0
539,539,-0.00418451,1
540,540,-0.0177433,1
541,541,0.0681146,0
542,542,-0.00327722,1
543,543,-0.0510826,1
544,544,0.00318122,0
545,545,0.0172993,0
546,546,0.0643943,0
547,547,0.016559,0
548,548,-0.0355233,1
549,549,0.0693771,0
550,550,-0.00597911,1
551,551,-0.0221078,1
552,552,0.0693771,0
553,553,-0.0106539,1
554,554,-0.0231087,1
555,555,0.0645348,0
556,556,-0.00418451,1
557,557,-0.0191796,1
558,558,0.0688501,0
559,559,-0.00666567,1
560,560,-0.0281036,1
561,561,0.0681146,0
562,562,-0.00418451,1
563,563,-0.0494983,1
564,564,0.0307909,0
565,565,0.0405503,0
566,566,0.058322,0
567,567,0.0319449,0
568,568,0.0341721,0
569,569,0.0623861,0
570,570,0.0315731,0
571,571,0.0337265,0
572,572,0.0529626,0
573,573,0.040747,0
574,574,0.0279807,0
575,575,0.0628796,0
576,576,0.0336688,0
577,577,0.0689187,0
578,578,0.0278509,0
579,579,0.0186569,0
580,580,0.0583971,0
581,581,0.028682,0
582,582,-0.0709571,1
583,583,0.00539623,0
584,584,0.0281408,0
585,585,0.0613125,0
586,586,0.030395,0
587,587,0.012446,0
588,588,0.0643673,0
589,589,0.0380834,0
590,590,0.0270707,0
591,591,0.0687115,0
592,592,0.0390176,0
593,593,0.0299649,0
594,594,0.0689187,0
595,595,0.0390147,0
596,596,0.0323691,0
597,597,0.0628491,0
598,598,-0.00900504,1
599,599,0.015859,0
600,600,0.0646044,0
601,601,0.0253724,0
602,602,-0.0719397,1
603,603,0.015503,0
604,604,0.00800677,0
605,605,0.025015,0
606,606,0.0536035,0
607,607,0.0378318,0
608,608,0.0343029,0
609,609,0.0487957,0
610,610,0.0354251,0
611,611,0.0329129,0
612,612,0.0494557,0
613,613,0.0267957,0
614,614,0.0352772,0
615,615,0.0488946,0
616,616,0.0382385,0
617,617,0.0363873,0
618,618,0.0461506,0
619,619,0.0267506,0
620,620,0.0309191,0
621,621,0.0488946,0
622,622,0.0358786,0
623,623,-0.0923942,1
624,624,0.0177785,0
625,625,0.0100808,0
626,626,0.0265986,0
627,627,0.048674,0
628,628,0.0381294,0
629,629,0.0371571,0
630,630,0.0507779,0
631,631,0.0368014,0
632,632,0.0349707,0
633,633,0.0488327,0
634,634,0.0273398,0
635,635,0.0343565,0
636,636,0.0502191,0
637,637,0.0310368,0
638,638,0.0293053,0
639,639,0.0482706,0
640,640,0.0355104,0
641,641,0.0378423,0
642,642,0.0526448,0
643,643,0.0348679,0
644,644,-0.0910016,1
645,645,0.0209602,0
646,646,0.0251124,0
647,647,0.019649,0
648,648,0.05221,0
649,649,0.0226682,0
650,650,0.0312182,0
651,651,0.0507779,0
652,652,0.033719,0
653,653,0.0313461,0
654,654,0.0520443,0
655,655,0.0189459,0
656,656,0.03286,0
657,657,0.0514877,0
658,658,0.0236424,0
659,659,0.0288512,0
660,660,0.0509385,0
661,661,0.0192291,0
662,662,0.00499956,0
663,663,0.0526448,0
664,664,0.0302047,0
665,665,-0.0700439,1
666,666,0.0218078,0
667,667,0.0322513,0
668,668,0.00926157,0
669,669,0.0548883,0
670,670,0.0241821,0
671,671,0.0317803,0
672,672,0.0552381,0
673,673,0.0255188,0
674,674,0.0309565,0
675,675,0.0513861,0
676,676,0.0236977,0
677,677,0.0209518,0
678,678,0.0513302,0
679,679,0.0217116,0
680,680,0.0310951,0
681,681,0.0513302,0
682,682,0.0236899,0
683,683,0.015589,0
684,684,0.050553,0
685,685,0.0322153,0
686,686,-0.0753791,1
687,687,0.0180942,0
688,688,0.0401616,0
689,689,0.038051,0
690,690,0.0511112,0
691,691,0.0431035,0
692,692,0.0400811,0
693,693,0.0511112,0
694,694,0.0441882,0
695,695,0.0431661,0
696,696,0.0511112,0
697,697,0.0405373,0
698,698,0.0407037,0
699,699,0.050553,0
700,700,0.0397344,0
701,701,0.0407037,0
702,702,0.0513302,0
703,703,0.0405373,0
704,704,0.0406004,0
705,705,0.0509385,0
706,706,0.0425315,0
707,707,-0.0784832,1
708,708,0.0180942,0
709,709,0.0401616,0
710,710,0.0309265,0
711,711,0.0511112,0
712,712,0.0430009,0
713,713,0.0412788,0
714,714,0.0511112,0
715,715,0.0423066,0
716,716,0.0400811,0
717,717,0.0514961,0
718,718,0.0397344,0
719,719,0.0406004,0
720,720,0.0533805,0
721,721,0.0417333,0
722,722,0.039504,0
723,723,0.0513302,0
724,724,0.0416304,0
725,725,0.0386986,0
726,726,0.0486065,0
727,727,0.0444118,0
728,728,-0.0766555,1
729,729,0.0391879,0
730,730,0.0341002,0
731,731,0.0693771,0
732,732,0.033918,0
733,733,0.0291464,0
734,734,0.0693771,0
735,735,0.0374232,0
736,736,-0.00816645,1
737,737,0.0586261,0
738,738,0.00888838,0
739,739,0.0345395,0
740,740,0.0688501,0
741,741,0.0353663,0
742,742,0.0335103,0
743,743,0.0681146,0
744,744,0.00749395,0
745,745,0.0379665,0
746,746,0.0520891,0
747,747,0.0366965,0
748,748,-0.0749041,1
749,749,0.0216074,0
750,750,0.0642466,0
751,751,0.0391879,0
752,752,0.0323753,0
753,753,0.0612291,0
754,754,0.0347126,0
755,755,0.0362947,0
756,756,0.0613557,0
757,757,0.0384406,0
758,758,0.0314365,0
759,759,0.0528627,0
760,760,0.0318505,0
761,761,0.021931,0
762,762,0.0689187,0
763,763,0.0366965,0
764,764,0.0282065,0
765,765,0.0666251,0
766,766,0.0256172,0
767,767,-0.0771729,1
768,768,-0.0188651,1
769,769,0.0363817,0
770,770,0.0256456,0
771,771,0.0320105,0
772,772,-0.0248273,1
773,773,0.00917417,0
774,774,0.0376304,0
775,775,0.0316463,0
776,776,0.0317751,0
777,777,-0.0334938,1
778,778,-0.0318823,1
779,779,0.0343039,0
780,780,0.033209,0
781,781,0.0193866,0
782,782,0.00121175,0
783,783,-0.00410722,1
784,784,0.0214154,0
785,785,0.0109577,0
786,786,0.0182882,0
787,787,-0.0167342,1
788,788,-0.0309119,1
789,789,-0.00657485,1
790,790,0.0475107,0
791,791,0.0363687,0
792,792,0.0323895,0
793,793,-0.0183006,1
794,794,0.0115752,0
795,795,0.0458553,0
796,796,0.0284308,0
797,797,0.0351683,0
798,798,-0.0156253,1
799,799,0.0039213,0
800,800,0.0484178,0
801,801,0.0359273,0
802,802,0.0301728,0
803,803,-0.0372723,1
804,804,0.00612108,0
805,805,0.0435616,0
806,806,0.0467079,0
807,807,0.0323895,0
808,808,-0.0490832,1
809,809,-0.00764628,1
810,810,0.0450082,0
811,811,0.0427291,0
812,812,0.0327305,0
813,813,-0.0326628,1
814,814,-0.0161988,1
815,815,0.0458819,0
816,816,0.0407848,0
817,817,0.0299712,0
818,818,-0.0126928,1
819,819,-0.00302013,1
820,820,0.0176135,0
821,821,-0.0302666,1
822,822,0.0292937,0
823,823,-0.0398382,1
824,824,0.0351839,0
825,825,-0.010895,1
826,826,0.0283553,0
827,827,-0.0173051,1
828,828,0.0104573,0
829,829,0.00528858,0
830,830,0.0312833,0
831,831,0.0319601,0
832,832,-0.0294286,1
833,833,-0.00186259,1
834,834,0.0387356,0
835,835,0.0321253,0
