log_time,request_method,response_code,bytes_sent,source_ip
2025-12-09 23:45:06,DELETE,403,296,192.168.21.138
2025-12-09 18:29:57,PUT,404,1320,192.168.116.49
2025-12-10 12:27:40,DELETE,404,2050,192.168.27.5
2025-12-10 02:17:23,POST,400,2622,192.168.114.178
2025-12-09 17:04:22,PUT,404,2059,192.168.73.66
2025-12-09 16:29:05,PUT,400,4538,192.168.226.136
2025-12-09 21:40:25,PUT,201,4756,192.168.112.121
2025-12-10 09:53:19,DELETE,201,840,192.168.29.89
2025-12-10 02:31:29,DELETE,200,2591,192.168.98.24
2025-12-10 14:55:49,GET,200,1519,192.168.23.79
2025-12-10 02:40:42,DELETE,201,652,192.168.226.207
2025-12-09 20:24:46,DELETE,200,1000,192.168.244.136
2025-12-09 16:21:30,GET,200,2850,192.168.30.208
2025-12-09 20:41:11,POST,403,4149,192.168.2.87
2025-12-10 07:15:56,DELETE,200,4674,192.168.223.159
2025-12-09 17:06:14,DELETE,500,2596,192.168.148.2
2025-12-09 20:46:05,GET,401,3986,192.168.33.188
2025-12-09 20:33:47,POST,400,1849,192.168.209.200
2025-12-09 22:22:38,DELETE,404,211,192.168.145.64
2025-12-10 01:26:33,PUT,401,4540,192.168.37.236
2025-12-10 04:12:00,POST,200,3193,192.168.166.201
2025-12-10 14:36:41,POST,200,637,192.168.138.164
2025-12-10 05:17:39,POST,404,4419,192.168.75.150
2025-12-10 08:17:28,POST,201,3705,192.168.42.38
2025-12-10 09:26:16,POST,401,1647,192.168.146.186
2025-12-10 10:54:19,GET,403,2405,192.168.60.56
2025-12-10 11:33:17,DELETE,401,242,192.168.179.123
2025-12-09 16:41:27,PUT,404,3176,192.168.183.104
2025-12-10 11:58:37,PUT,400,2986,192.168.105.165
2025-12-09 20:45:22,DELETE,401,1159,192.168.254.142
2025-12-10 00:51:50,DELETE,400,2461,192.168.200.76
2025-12-10 03:26:52,PUT,404,472,192.168.184.148
2025-12-10 06:27:20,PUT,200,4406,192.168.221.251
2025-12-09 22:23:18,DELETE,500,3972,192.168.88.118
2025-12-09 21:19:35,GET,500,649,192.168.195.153
2025-12-09 16:09:23,GET,200,1112,192.168.166.54
2025-12-09 23:47:18,PUT,400,4310,192.168.81.179
2025-12-09 21:37:02,PUT,500,2424,192.168.84.195
2025-12-10 04:31:10,PUT,500,4838,192.168.149.5
2025-12-09 17:40:31,GET,401,3957,192.168.42.218
2025-12-09 19:37:34,PUT,400,726,192.168.10.202
2025-12-10 11:17:23,PUT,201,2626,192.168.88.14
2025-12-09 17:14:15,DELETE,403,3880,192.168.223.147
2025-12-09 15:46:50,PUT,200,1336,192.168.179.100
2025-12-09 15:47:59,POST,500,102,192.168.83.218
2025-12-10 04:54:27,GET,404,4838,192.168.141.10
2025-12-10 14:02:08,POST,401,979,192.168.109.22
2025-12-09 17:27:12,GET,400,4259,192.168.75.177
2025-12-10 02:11:41,DELETE,500,3845,192.168.19.80
2025-12-10 14:38:46,POST,404,582,192.168.158.248
2025-12-10 00:46:35,POST,404,1303,192.168.111.73
2025-12-10 07:56:19,GET,404,3358,192.168.160.142
2025-12-10 14:43:40,PUT,200,4167,192.168.179.57
2025-12-10 07:22:40,POST,400,420,192.168.123.68
2025-12-09 23:05:27,GET,404,2755,192.168.39.124
2025-12-10 13:49:34,PUT,404,460,192.168.37.122
2025-12-10 12:43:09,DELETE,200,255,192.168.93.202
2025-12-10 11:12:40,GET,201,1665,192.168.78.85
2025-12-10 09:49:26,POST,200,2903,192.168.81.48
2025-12-10 10:13:33,PUT,200,3736,192.168.20.91
2025-12-10 13:12:14,POST,403,1493,192.168.179.133
2025-12-09 19:37:47,PUT,200,1039,192.168.100.22
2025-12-09 19:01:55,DELETE,201,240,192.168.232.49
2025-12-10 11:10:30,GET,404,986,192.168.184.59
2025-12-09 22:10:34,DELETE,400,382,192.168.69.60
2025-12-09 15:23:32,PUT,404,2179,192.168.196.146
2025-12-10 11:45:02,GET,401,1856,192.168.57.212
2025-12-09 23:50:15,POST,404,2777,192.168.253.215
2025-12-09 20:18:16,POST,200,2951,192.168.61.17
2025-12-10 03:16:20,DELETE,201,488,192.168.172.79
2025-12-10 10:02:56,GET,401,1318,192.168.125.66
2025-12-10 06:56:33,DELETE,401,238,192.168.182.59
2025-12-10 08:39:43,GET,403,3102,192.168.119.80
2025-12-10 08:50:46,PUT,200,1575,192.168.91.113
2025-12-09 19:56:07,GET,200,945,192.168.232.252
2025-12-10 07:39:14,POST,400,1024,192.168.12.64
2025-12-09 19:51:57,DELETE,400,4866,192.168.99.111
2025-12-09 17:53:05,DELETE,201,2351,192.168.82.66
2025-12-10 00:26:57,DELETE,404,1293,192.168.2.64
2025-12-09 21:56:47,PUT,404,3853,192.168.158.10
2025-12-10 05:29:26,POST,403,3147,192.168.57.123
2025-12-10 06:28:50,DELETE,400,4232,192.168.8.37
2025-12-10 00:05:58,PUT,400,2192,192.168.171.83
2025-12-10 10:46:20,GET,403,2040,192.168.201.31
2025-12-10 02:08:35,DELETE,400,4251,192.168.58.207
2025-12-09 23:50:35,DELETE,201,3450,192.168.193.15
2025-12-09 23:17:50,DELETE,200,1979,192.168.81.74
2025-12-10 05:18:31,POST,500,4858,192.168.146.180
2025-12-09 20:25:27,GET,201,111,192.168.114.55
2025-12-10 11:12:10,POST,201,2179,192.168.131.25
2025-12-10 10:41:08,DELETE,404,1004,192.168.164.143
2025-12-10 05:41:54,DELETE,403,235,192.168.61.18
2025-12-09 21:50:56,GET,201,2498,192.168.159.6
2025-12-09 23:25:37,PUT,500,1210,192.168.41.140
2025-12-10 14:37:08,DELETE,200,4710,192.168.74.1
2025-12-09 20:15:09,POST,400,1040,192.168.169.201
2025-12-09 18:05:52,GET,401,1175,192.168.79.173
2025-12-09 22:41:59,GET,404,4863,192.168.249.206
2025-12-10 11:55:11,PUT,403,4679,192.168.27.76
2025-12-09 16:04:58,GET,401,1610,192.168.192.123
2025-12-10 04:15:01,GET,200,1103,192.168.162.20
2025-12-09 20:29:41,PUT,200,1796,192.168.178.133
2025-12-10 06:36:27,PUT,400,1370,192.168.50.83
2025-12-10 05:53:36,DELETE,403,3215,192.168.171.126
2025-12-10 12:15:31,DELETE,403,3996,192.168.134.87
2025-12-09 21:49:57,GET,404,1033,192.168.68.121
2025-12-09 17:43:39,DELETE,401,3190,192.168.61.204
2025-12-09 21:25:23,GET,500,3977,192.168.166.186
2025-12-10 09:58:54,DELETE,401,1370,192.168.34.113
2025-12-09 15:10:20,GET,200,922,192.168.243.119
2025-12-10 04:59:43,POST,400,3949,192.168.82.42
2025-12-09 22:50:58,GET,404,3706,192.168.65.210
2025-12-09 19:43:45,GET,404,1018,192.168.100.241
2025-12-10 02:37:23,GET,500,1868,192.168.88.171
2025-12-10 05:05:46,GET,400,2021,192.168.126.83
2025-12-10 04:50:38,POST,403,3308,192.168.209.164
2025-12-09 18:56:45,GET,200,4253,192.168.27.91
2025-12-10 03:35:18,POST,404,1592,192.168.88.32
2025-12-10 07:07:03,DELETE,200,3983,192.168.242.236
2025-12-10 07:57:21,POST,201,1515,192.168.59.212
2025-12-09 17:52:30,POST,201,1421,192.168.13.235
2025-12-09 16:53:45,DELETE,401,3496,192.168.35.154
2025-12-10 11:22:51,POST,404,2078,192.168.184.120
2025-12-09 20:48:36,PUT,400,3431,192.168.60.248
2025-12-10 06:09:26,DELETE,500,2820,192.168.220.192
2025-12-10 07:25:45,GET,200,1254,192.168.182.84
